Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
23И8234,Миронова Нонна Тарасовна,ИКБО-19-21,Б,Ж,Мурманск
20И4601,Зимин Селиверст Васильевич,ИКБО-19-21,К,М,Оренбург
22И8074,Виталий Артёмович Давыдов,ИКБО-19-21,Б,М,Хабаровск
23И9018,Евгения Кузьминична Уварова,ИКБО-19-21,Б,Ж,Архангельск
21И0361,Лукина Пелагея Кузьминична,ИКБО-19-21,К,Ж,Петрозаводск
22И5334,Гаврилова Евфросиния Станиславовна,ИКБО-19-21,К,Ж,Томск
22И7215,Зинаида Вячеславовна Гаврилова,ИКБО-19-21,Б,Ж,Донецк
20И3431,Олег Ильясович Носов,ИКБО-19-21,К,М,Архангельск
23И4933,Кузьмин Яков Иларионович,ИКБО-19-21,Б,М,Кемерово
23И7134,Нинель Богдановна Горбунова,ИКБО-19-21,Б,Ж,Новороссийск
22И6506,Куликов Архип Ермолаевич,ИКБО-19-21,К,М,Пермь
23И6679,Осипова Евпраксия Ивановна,ИКБО-19-21,К,Ж,Пермь
23И0963,Шестакова Виктория Николаевна,ИКБО-19-21,К,Ж,Омск
23И3379,Бобылева Алевтина Николаевна,ИЭБО-66-23,Б,Ж,Сургут
23И0651,Галкина Надежда Ивановна,ИЭБО-66-23,Б,Ж,Тверь
21И1737,Турова Марина Романовна,ИЭБО-66-23,К,Ж,Нижний Новгород
23И4566,Евстафий Ефремович Цветков,ИЭБО-66-23,Б,М,Мурманск
21И7957,Маргарита Вениаминовна Сергеева,ИЭБО-66-23,Б,Ж,Чита
23И8535,Лаврентьев Радислав Трофимович,ИЭБО-66-23,К,М,Тольятти
20И5741,Елизавета Владимировна Носова,ИЭБО-66-23,К,Ж,Санкт-Петербург
21И4027,Анастасия Аскольдовна Петрова,ИЭБО-66-23,Б,Ж,Москва
21И3269,Тарасова Ульяна Святославовна,ИЭБО-66-23,Б,Ж,Ставрополь
21И5226,Горбунов Виктор Жоресович,ИЭБО-66-23,Б,М,Мурманск
23И1418,Нонна Ильинична Пахомова,ИЭБО-66-23,Б,Ж,Ярославль
20И8159,Артемьев Ефим Фролович,ИЭБО-66-23,К,М,Ульяновск
22И3926,Светлана Николаевна Доронина,ИЭБО-66-23,Б,Ж,Иваново
21И0140,тов. Гришин Агафон Вячеславович,ИЭБО-66-23,К,М,Кемерово
20И6459,Галина Максимовна Гусева,ИЭБО-66-23,К,Ж,Томск
23И8052,Юдин Иван Егорович,ИЭБО-66-23,К,М,Тула
22И7303,Марина Михайловна Горбачева,ИЭБО-66-23,Б,Ж,Ростов-на-Дону
20И2705,Викентий Харитонович Маслов,ИЭБО-66-23,Б,М,Калуга
23И2184,Игорь Теймуразович Кулагин,ИЭБО-66-23,Б,М,Донецк
22И4713,Марина Тимуровна Беляева,ИЭБО-66-23,К,Ж,Сыктывкар
22И3861,Эмилия Тимофеевна Шилова,ИЭБО-66-23,Б,Ж,Томск
23И0947,Изот Теймуразович Беляев,ИЭБО-66-23,К,М,Донецк
21И6390,Белов Еремей Георгиевич,ИЭБО-66-23,К,М,Томск
22И8246,Зайцев Никон Феодосьевич,ИЭБО-66-23,Б,М,Оренбург
23И5857,Меркушев Платон Эдгардович,ИЭБО-66-23,К,М,Владикавказ
23И3628,Феврония Аскольдовна Шашкова,ИЭБО-66-23,К,Ж,Архангельск
20И6423,Ермолай Адрианович Селезнев,ИЭБО-66-23,К,М,Москва
22И4954,Симонов Мокей Даниилович,ИЭБО-66-23,К,М,Махачкала
22И2203,Радован Венедиктович Мельников,ИЭБО-66-23,Б,М,Хабаровск
23И1673,Анна Филипповна Агафонова,ИЭБО-66-23,К,Ж,Киров
21И5530,Элеонора Эльдаровна Нестерова,ИМБО-32-22,Б,Ж,Астрахань
21И3261,Аксенов Аполлинарий Ермолаевич,ИМБО-32-22,Б,М,Тверь
20И9115,Федосеев Филимон Антипович,ИМБО-32-22,К,М,Владикавказ
23И1340,Агафья Викторовна Евсеева,ИМБО-32-22,К,Ж,Тюмень
20И2436,Князев Сила Антонович,ИМБО-32-22,Б,М,Кемерово
23И6467,Орлова Варвара Леоновна,ИМБО-32-22,К,Ж,Красноярск
20И8241,Копылова Юлия Станиславовна,ИМБО-32-22,Б,Ж,Воронеж
22И7824,Трофим Денисович Савин,ИМБО-32-22,К,М,Тула
23И7723,Алевтина Степановна Николаева,ИМБО-32-22,Б,Ж,Владикавказ
21И3904,Куприян Арсеньевич Евдокимов,ИМБО-32-22,К,М,Таганрог
22И3988,Анжела Петровна Кошелева,ИМБО-32-22,Б,Ж,Санкт-Петербург
20И7408,Морозова Екатерина Владимировна,ИМБО-32-22,К,Ж,Тула
20И9295,Екатерина Петровна Андреева,ИМБО-32-22,Б,Ж,Омск
22И2152,Анжела Евгеньевна Гордеева,ИМБО-32-22,К,Ж,Бийск
23И8095,Тихон Денисович Ковалев,ИМБО-32-22,Б,М,Волгоград
20И3208,Васильева София Романовна,ИМБО-32-22,К,Ж,Сыктывкар
21И8663,Баранова Кира Эдуардовна,ИМБО-32-22,Б,Ж,Ангарск
23И2482,Нина Даниловна Сидорова,ИМБО-32-22,К,Ж,Владимир
22И6716,Ларионова Синклитикия Мироновна,ИМБО-32-22,К,Ж,Тюмень
21И3301,Давыд Эдгарович Николаев,ИМБО-32-22,Б,М,Сыктывкар
21И7582,Анисимов Вацлав Владиленович,ИМБО-32-22,Б,М,Набережные Челны
22И9718,Фадеева Анастасия Станиславовна,ИМБО-32-22,Б,Ж,Пермь
21И0937,Копылова Регина Григорьевна,ИМБО-32-22,К,Ж,Иваново
21И7119,Михайлова Марфа Архиповна,ИМБО-32-22,К,Ж,Севастополь
22И1554,Моисей Валентинович Суворов,ИМБО-32-22,Б,М,Смоленск
20И0277,Филимон Антонович Логинов,ИМБО-32-22,Б,М,Уфа
20И8557,Радислав Денисович Трофимов,ИМБО-32-22,Б,М,Архангельск
20И6836,Оксана Петровна Мясникова,ИМБО-32-22,Б,Ж,Симферополь
22И5586,Парфен Александрович Гришин,ИМБО-32-22,Б,М,Хабаровск
21И2352,Романова Елена Борисовна,ИМБО-32-22,Б,Ж,Махачкала
20И3220,Корнилова Лариса Архиповна,ИЭБО-48-22,К,Ж,Калуга
23И9440,Авдей Дмитриевич Лихачев,ИЭБО-48-22,Б,М,Омск
20И9933,Киселева Маргарита Даниловна,ИЭБО-48-22,К,Ж,Санкт-Петербург
22И9316,Шарова Нина Никифоровна,ИЭБО-48-22,К,Ж,Тула
22И1063,Велимир Анатольевич Прохоров,ИЭБО-48-22,Б,М,Новокузнецк
22И9021,Некрасова Октябрина Макаровна,ИЭБО-48-22,Б,Ж,Саранск
23И0493,Лукьян Жоресович Федосеев,ИЭБО-48-22,Б,М,Омск
23И2371,Беспалов Евграф Эдгарович,ИЭБО-48-22,К,М,Саранск
23И6097,Сидорова Лидия Натановна,ИЭБО-48-22,К,Ж,Саранск
23И5131,Лукина Таисия Владимировна,ИЭБО-48-22,К,Ж,Волгоград
23И0050,Федот Матвеевич Комиссаров,ИЭБО-48-22,К,М,Архангельск
21И1636,Носова Мария Юльевна,ИЭБО-48-22,К,Ж,Рязань
22И5835,Гуляева Антонина Анатольевна,ИЭБО-48-22,Б,Ж,Таганрог
21И2283,Олимпиада Яковлевна Степанова,ИЭБО-48-22,Б,Ж,Астрахань
22И9534,Мария Егоровна Меркушева,ИЭБО-48-22,Б,Ж,Санкт-Петербург
23И1471,Светлана Вячеславовна Волкова,ИЭБО-48-22,К,Ж,Курган
20И8820,Иванна Юрьевна Матвеева,ИЭБО-48-22,Б,Ж,Ульяновск
21И7896,Блохина Феврония Тарасовна,ИЭБО-48-22,К,Ж,Владивосток
21И1221,Мишин Арсений Александрович,ИЭБО-48-22,К,М,Владикавказ
23И7144,Светлана Юльевна Иванова,ИЭБО-48-22,Б,Ж,Владимир
23И4529,Куликов Парамон Елисеевич,ИЭБО-48-22,К,М,Старый Оскол
20И6610,Нина Сергеевна Мельникова,ИЭБО-48-22,К,Ж,Кемерово
22И6775,Федосеева Зинаида Станиславовна,ИЭБО-48-22,К,Ж,Бийск
22И5014,Александр Филатович Мишин,ИЭБО-48-22,Б,М,Красноярск
22И6677,Селезнева Анастасия Леонидовна,ИЭБО-48-22,К,Ж,Таганрог
21И7129,Сорокин Илья Евсеевич,ИЭБО-48-22,К,М,Самара
22И0766,Владислав Васильевич Беляков,ИЭБО-48-22,Б,М,Калининград
20И5046,Феврония Богдановна Борисова,ИЭБО-48-22,К,Ж,Брянск
22И7748,Терентьева Наталья Аскольдовна,ИЭБО-48-22,К,Ж,Ярославль
20И0087,Потапова Эмилия Константиновна,ИЭБО-48-22,Б,Ж,Брянск
20И8134,Глафира Петровна Колобова,ИНБО-26-22,К,Ж,Иваново
20И7538,Галина Викторовна Игнатова,ИНБО-26-22,К,Ж,Петрозаводск
21И0947,Аксенов Аким Валерианович,ИНБО-26-22,Б,М,Сыктывкар
21И4778,Юлия Харитоновна Комиссарова,ИНБО-26-22,К,Ж,Пенза
21И1947,Васильев Мирон Елисеевич,ИНБО-26-22,К,М,Ростов-на-Дону
22И9751,Михеев Александр Димитриевич,ИНБО-26-22,К,М,Кемерово
23И1057,Хохлова Нина Валентиновна,ИНБО-26-22,Б,Ж,Самара
23И1978,Милица Ефимовна Савина,ИНБО-26-22,Б,Ж,Тольятти
22И1010,Севастьян Зиновьевич Андреев,ИНБО-26-22,К,М,Киров
23И9354,Ирина Львовна Волкова,ИНБО-26-22,Б,Ж,Ижевск
23И5403,Мартын Трифонович Абрамов,ИНБО-26-22,К,М,Мариуполь
22И1299,Марина Богдановна Рябова,ИНБО-26-22,К,Ж,Сочи
23И5995,Чернов Евдоким Евсеевич,ИНБО-26-22,К,М,Ставрополь
22И1202,Уваров Светозар Филимонович,ИНБО-26-22,Б,М,Пенза
23И5533,Мясникова Глафира Дмитриевна,ИНБО-26-22,К,Ж,Ростов-на-Дону
21И6031,Наркис Данилович Шестаков,ИНБО-26-22,Б,М,Кострома
23И7449,Борисова Олимпиада Тимуровна,ИНБО-26-22,К,Ж,Иваново
23И0172,Каллистрат Всеволодович Муравьев,ИНБО-26-22,Б,М,Владикавказ
23И1438,Новиков Виссарион Эдуардович,ИНБО-26-22,К,М,Уфа
23И4329,Анисимова София Альбертовна,ИНБО-26-22,К,Ж,Владимир
23И9613,Кириллов Галактион Анисимович,ИНБО-26-22,К,М,Кемерово
21И8865,Терентий Юлианович Самойлов,ИНБО-26-22,Б,М,Тольятти
